YYYY,MM2,JULIAN,DENSyc,GRID,HANDLER_FIELD,MeanTemp,TotPrecip,ID,SEXc,AGEc,REPRO1,REPROc,MASS_FIELD,DENSd,F_LOAD,B_LOAD,M_LOAD,T_LOAD,LAB,OF_dist,OF_GROOM_t,OF_TIME_MIN,TIME_CAPT,MASS_LAB
2016,4,111,0.5,cow,hp,9.3,0,A001,-0.5,0.5,lact,0.5,36.5,1,0,0,0,0,n,NA,NA,NA,795,NA
2016,4,113,0.5,cow,hp,14.3,1.8,A001,-0.5,0.5,non,-0.5,25,1,0,0,0,0,n,NA,NA,NA,410,NA
2016,4,114,0.5,cow,vc,7,0,A003,-0.5,0.5,non,-0.5,31,1,0,0,0,0,n,NA,NA,NA,412,NA
2016,4,114,0.5,QUBS,vc,7,0,A004,0.5,0.5,non,-0.5,31.65,2,0,0,0,0,n,NA,NA,NA,449,NA
2016,4,114,0.5,QUBS,vc,7,0,A005,0.5,0.5,non,-0.5,25,2,0,0,0,0,y,NA,NA,NA,478,NA
2016,4,117,0.5,QUBS,hp,4.8,4.2,A006,0.5,0.5,non,-0.5,25.5,2,0,0,0,0,n,NA,NA,NA,370,NA
2016,4,117,0.5,QUBS,hp,4.8,4.2,A007,0.5,0.5,scro,0.5,26,2,0,0,0,0,y,10214,NA,420,380,NA
2016,4,119,0.5,QUBS,hp,4.5,0,A007,0.5,0.5,scro,0.5,27.27,1,0,0,0,0,n,NA,NA,NA,393,NA
2016,4,120,0.5,cow,hp,7.3,0,A008,0.5,0.5,non,-0.5,26,1,0,0,0,0,y,NA,NA,NA,467,NA
2016,5,123,0.5,cow,hp,8.3,0,A005,0.5,0.5,non,-0.5,32,1,0,0,0,0,y,NA,NA,NA,408,NA
2016,5,124,0.5,QUBS,vc,9.5,0,A007,0.5,0.5,non,-0.5,26,1,0,0,0,0,y,NA,NA,NA,430,NA
2016,5,125,0.5,QUBS,vc,10.8,0,A007,0.5,0.5,non,-0.5,28,4,0,0,0,0,y,2622.46,439.44,499,485,NA
2016,5,125,0.5,QUBS,vc,10.8,0,A009,-0.5,0.5,non,-0.5,28,4,0,0,0,0,y,6013.17,319.04,570,503,NA
2016,5,125,0.5,QUBS,vc,10.8,0,A010,0.5,-0.5,non,-0.5,17.7,4,0,0,0,0,y,10898.7,268.08,626,525,NA
2016,5,125,0.5,QUBS,vc,10.8,0,A011,-0.5,0.5,lact,0.5,30,4,0,0,0,0,y,3859.25,195.68,640,541,NA
2016,5,125,0.5,cow,jv,10.8,0,A003,-0.5,0.5,lact,0.5,35,1,0,0,0,0,y,8580.64,223.6,571,397,NA
2016,5,126,0.5,QUBS,sn,14,0,A012,-0.5,-0.5,non,-0.5,8.5,5,0,0,0,0,y,2088.2,6.88,576,446,NA
2016,5,126,0.5,QUBS,jv,14,0,A013,0.5,0.5,non,-0.5,27.5,5,0,0,0,0,y,7693.28,26,632,462,NA
2016,5,126,0.5,QUBS,sn,14,0,A014,-0.5,0.5,lact,0.5,30,5,0,0,0,0,y,5653.06,349.44,594,477,NA
2016,5,126,0.5,QUBS,jv,14,0,A015,-0.5,0.5,non,-0.5,24.5,5,0,0,0,0,y,3400.71,301.76,647,488,NA
2016,5,126,0.5,QUBS,sn,14,0,A016,0.5,0.5,non,-0.5,24,5,0,0,0,0,y,3470.23,119.52,615,498,NA
2016,5,127,0.5,QUBS,sn,13.5,0,A017,-0.5,0.5,non,-0.5,34,3,0,0,0,0,n,NA,NA,NA,400,NA
2016,5,127,0.5,QUBS,sn,13.5,0,A013,0.5,0.5,non,-0.5,28.5,3,0,0,0,0,n,NA,NA,NA,427,NA
2016,5,127,0.5,QUBS,hp,13.5,0,A018,0.5,0.5,non,-0.5,24,3,0,0,0,0,n,NA,NA,NA,410,NA
2016,5,128,0.5,cow,sn,15,5.4,A019,-0.5,0.5,non,-0.5,27.5,1,0,0,0,0,n,NA,NA,NA,390,NA
2016,5,128,0.5,QUBS,sn,15,5.4,A018,0.5,0.5,non,-0.5,23,6,0,0,0,0,n,NA,NA,NA,426,NA
2016,5,128,0.5,QUBS,jv,15,5.4,A020,-0.5,0.5,non,-0.5,23,6,0,0,0,0,n,NA,NA,NA,414,NA
2016,5,128,0.5,QUBS,sn,15,5.4,A021,0.5,0.5,non,-0.5,7,6,0,0,0,0,n,NA,NA,NA,436,NA
2016,5,128,0.5,QUBS,sn,15,5.4,A012,-0.5,-0.5,non,-0.5,10,6,0,0,0,0,n,NA,NA,NA,455,NA
2016,5,128,0.5,QUBS,sn,15,5.4,A009,-0.5,0.5,non,-0.5,27.5,6,0,0,0,0,n,NA,NA,NA,471,NA
2016,5,128,0.5,QUBS,jv,15,5.4,A016,0.5,0.5,scro,0.5,22.5,6,0,0,0,0,n,NA,NA,NA,435,NA
2016,5,129,0.5,cow,sn,8,0,A022,0.5,0.5,non,-0.5,23,7,0,0,0,1,n,NA,NA,NA,389,NA
2016,5,129,0.5,cow,hp,8,0,A023,-0.5,-0.5,non,-0.5,17,7,0,0,0,0,n,NA,NA,NA,390,NA
2016,5,129,0.5,cow,hp,8,0,A019,-0.5,0.5,non,-0.5,29,7,0,0,0,0,n,NA,NA,NA,425,NA
2016,5,129,0.5,cow,jv,8,0,A024,0.5,-0.5,non,-0.5,12.5,7,0,0,0,0,n,NA,NA,NA,401,NA
2016,5,129,0.5,cow,sn,8,0,A025,0.5,0.5,scro,0.5,25.5,7,0,0,0,0,n,NA,NA,NA,414,NA
2016,5,129,0.5,cow,jv,8,0,A026,-0.5,0.5,preg,0.5,34,7,0,0,0,0,n,NA,NA,NA,424,NA
2016,5,129,0.5,QUBS,jv,8,0,A010,0.5,0.5,non,-0.5,19,7,0,0,0,0,n,NA,NA,NA,455,NA
2016,5,129,0.5,cow,sn,8,0,A027,0.5,-0.5,non,-0.5,13,7,0,0,0,0,n,NA,NA,NA,436,NA
2016,5,129,0.5,QUBS,jv,8,0,A028,0.5,-0.5,non,-0.5,11,7,0,0,0,0,n,NA,NA,NA,465,NA
2016,5,129,0.5,QUBS,sn,8,0,A029,-0.5,0.5,preg,0.5,33.5,7,0,0,0,0,n,NA,NA,NA,476,NA
2016,5,129,0.5,QUBS,jv,8,0,A013,0.5,0.5,non,-0.5,27.5,7,0,0,0,0,n,NA,NA,NA,481,NA
2016,5,129,0.5,QUBS,hp,8,0,A030,-0.5,0.5,lact,0.5,26,7,0,0,0,0,n,NA,NA,NA,490,NA
2016,5,129,0.5,QUBS,sn,8,0,A031,0.5,0.5,non,-0.5,25.5,7,0,0,0,0,n,NA,NA,NA,495,NA
2016,5,129,0.5,QUBS,jv,8,0,A032,0.5,-0.5,non,-0.5,8.5,7,0,0,0,0,n,NA,NA,NA,495,NA
2016,5,130,0.5,cow,sn,6.8,0,A033,0.5,0.5,non,-0.5,28.5,9,0,0,0,0,n,NA,NA,NA,374,NA
2016,5,130,0.5,cow,hp,6.8,0,A034,-0.5,-0.5,non,-0.5,8,9,0,0,0,0,n,NA,NA,NA,377,NA
2016,5,130,0.5,cow,sn,6.8,0,A019,-0.5,0.5,non,-0.5,27.5,9,0,0,0,0,n,NA,NA,NA,389,NA
2016,5,130,0.5,cow,sn,6.8,0,A035,-0.5,-0.5,non,-0.5,12,9,0,0,0,0,n,NA,NA,NA,400,NA
2016,5,130,0.5,cow,jv,6.8,0,A036,-0.5,-0.5,non,-0.5,9,9,0,0,0,0,n,NA,NA,NA,402,NA
2016,5,130,0.5,cow,hp,6.8,0,A023,-0.5,-0.5,non,-0.5,17,9,0,0,0,0,n,NA,NA,NA,408,NA
2016,5,130,0.5,cow,sn,6.8,0,A037,-0.5,-0.5,non,-0.5,11,9,0,0,0,0,n,NA,NA,NA,420,NA
2016,5,130,0.5,cow,hp,6.8,0,A022,0.5,0.5,non,-0.5,24,9,0,0,0,0,n,NA,NA,NA,430,NA
2016,5,130,0.5,QUBS,jv,6.8,0,A013,0.5,0.5,non,-0.5,27.5,4,0,0,0,0,n,NA,NA,NA,435,NA
2016,5,130,0.5,cow,sn,6.8,0,A038,-0.5,-0.5,non,-0.5,11,9,0,0,0,0,n,NA,NA,NA,440,NA
2016,5,130,0.5,QUBS,jv,6.8,0,A016,0.5,0.5,non,-0.5,23,4,0,0,0,0,n,NA,NA,NA,445,NA
2016,5,130,0.5,QUBS,sn,6.8,0,A015,-0.5,0.5,non,-0.5,27.5,4,0,0,0,0,n,NA,NA,NA,525,NA
2016,5,130,0.5,QUBS,hp,6.8,0,A039,0.5,-0.5,non,-0.5,10.5,4,0,0,0,0,n,NA,NA,NA,525,NA
2016,5,131,0.5,cow,sn,9.5,0,A040,-0.5,-0.5,non,-0.5,11,4,0,0,0,0,n,NA,NA,NA,380,NA
2016,5,131,0.5,cow,sn,9.5,0,A041,-0.5,-0.5,non,-0.5,11.5,4,0,0,0,0,n,NA,NA,NA,398,NA
2016,5,131,0.5,QUBS,sn,9.5,0,A029,-0.5,0.5,lact,0.5,24.5,5,0,0,0,0,n,NA,NA,NA,438,NA
2016,5,131,0.5,cow,jv,9.5,0,A033,0.5,0.5,non,-0.5,30,4,0,0,0,0,n,NA,NA,NA,386,NA
2016,5,131,0.5,cow,hp,9.5,0,A022,0.5,0.5,non,-0.5,22,4,0,0,0,0,n,NA,NA,NA,402,NA
2016,5,131,0.5,QUBS,jv,9.5,0,A020,-0.5,0.5,non,-0.5,23.5,5,0,0,0,0,n,NA,NA,NA,422,NA
2016,5,131,0.5,QUBS,jv,9.5,0,A013,0.5,0.5,non,-0.5,25.5,5,0,0,0,0,n,NA,NA,NA,430,NA
2016,5,131,0.5,QUBS,jv,9.5,0,A010,0.5,-0.5,non,-0.5,17.5,5,0,0,0,0,n,NA,NA,NA,439,NA
2016,5,131,0.5,QUBS,jv,9.5,0,A042,0.5,0.5,non,-0.5,21.5,5,0,0,0,0,n,NA,NA,NA,450,NA
2016,5,132,0.5,QUBS,jv,13,0,A042,0.5,0.5,non,-0.5,22,6,0,0,0,0,y,7082.55,236.32,490,414,NA
2016,5,132,0.5,QUBS,hp,13,0,A015,-0.5,0.5,non,-0.5,28,6,0,0,0,0,y,NA,NA,NA,410,NA
2016,5,132,0.5,QUBS,vc,13,0,A006,0.5,0.5,non,-0.5,25.5,6,0,0,0,0,y,11410.3,97.44,546,416,NA
2016,5,132,0.5,QUBS,vc,13,0,A007,0.5,0.5,non,-0.5,27,6,0,0,0,0,y,1315.6,525.2,525,425,NA
2016,5,132,0.5,QUBS,sn,13,0,A043,-0.5,0.5,lact,0.5,36.5,6,0,0,0,0,n,NA,NA,NA,354,NA
2016,5,132,0.5,QUBS,sn,13,0,A020,-0.5,0.5,lact,0.5,24,6,0,0,0,0,n,NA,NA,NA,408,NA
2016,5,133,0.5,cow,jv,16.5,0,A010,0.5,0.5,non,-0.5,16.5,6,0,0,0,0,y,506.794,343.84,524,420,NA
2016,5,133,0.5,QUBS,jv,16.5,0,A013,0.5,0.5,scro,0.5,28,1,0,0,0,0,n,NA,NA,NA,433,NA
2016,5,133,0.5,cow,hp,16.5,0,A044,0.5,-0.5,non,-0.5,14,6,0,0,0,0,n,NA,NA,NA,715,NA
2016,5,133,0.5,cow,jv,16.5,0,A045,-0.5,-0.5,non,-0.5,13.5,6,0,0,0,0,n,NA,NA,NA,745,NA
2016,5,133,0.5,cow,jv,16.5,0,A046,0.5,-0.5,non,-0.5,10.5,6,0,0,0,0,n,NA,NA,NA,899,NA
2016,5,133,0.5,cow,jv,16.5,0,A048,-0.5,-0.5,non,-0.5,9.5,6,0,0,0,0,n,NA,NA,NA,1025,NA
2016,5,133,0.5,cow,jv,16.5,0,A049,0.5,-0.5,non,-0.5,9.5,6,0,0,0,0,n,NA,NA,NA,1042,NA
2016,5,134,0.5,QUBS,sn,19,7.4,A020,-0.5,0.5,lact,0.5,22.5,7,0,0,0,0,n,NA,NA,NA,371,NA
2016,5,134,0.5,QUBS,hp,19,7.4,A050,0.5,-0.5,non,-0.5,15,7,0,0,2,0,n,NA,NA,NA,385,NA
2016,5,134,0.5,QUBS,vc,19,7.4,A051,-0.5,0.5,non,-0.5,27,7,0,0,0,0,y,14393.5,81.44,464,420,21.46
2016,5,134,0.5,QUBS,sn,19,7.4,A013,0.5,0.5,scro,0.5,28.5,7,0,0,0,0,y,3736.81,169.52,550,387,27.42
2016,5,134,0.5,QUBS,sn,19,7.4,A016,0.5,0.5,non,-0.5,22,7,0,0,1,0,y,904.286,541.28,510,403,21.38
2016,5,134,0.5,QUBS,sn,19,7.4,A015,-0.5,0.5,preg,0.5,26,7,0,0,0,0,n,NA,NA,NA,420,NA
2016,5,134,0.5,QUBS,sn,19,7.4,A052,-0.5,-0.5,non,-0.5,9.5,7,0,0,0,0,y,15845.8,0,527,434,9.8
2016,5,134,0.5,cow,hp,19,7.4,A054,-0.5,0.5,lact,0.5,31,2,0,0,1,0,n,NA,NA,NA,814,NA
2016,5,134,0.5,cow,hp,19,7.4,A055,-0.5,-0.5,non,-0.5,12.5,2,0,0,0,0,n,NA,NA,NA,950,NA
2016,5,136,0.5,blue,jv,7,1.4,A056,0.5,0.5,non,-0.5,27,1,0,0,0,0,n,NA,NA,NA,398,NA
2016,5,136,0.5,QUBS,sn,7,1.4,A020,-0.5,0.5,lact,0.5,26,3,0,0,0,0,y,14445.5,117.2,448,385,25.62
2016,5,136,0.5,QUBS,hp,7,1.4,A039,0.5,-0.5,non,-0.5,12,3,0,0,0,0,y,5577.61,62.72,511,406,10.33
